order_id,order_date,order_year,order_month,order_day,order_hour,order_minute,order_second,is_weekend,order_status,return_reason,customer_id,customer_name,gender,age,customer_segment,country,city,customer_loyalty_score,total_orders_by_customer,account_creation_date,product_id,product_name,category,sub_category,brand,product_rating_avg,product_reviews_count,stock_quantity,unit_price_usd,quantity,discount_percent,discount_amount_usd,total_price_usd,cost_usd,profit_usd,tax_usd,currency,payment_method,payment_status,installment_plan,shipping_method,shipping_cost_usd,delivery_days,shipping_country,warehouse_location,delivery_status,rating,review_sentiment,customer_feedback,coupon_used,coupon_code,campaign_source,device_type,traffic_source,session_duration_minutes,pages_visited,abandoned_cart_before,fraud_risk_score,profit_margin_percent,order_priority,support_ticket_created
ORD-KLGZ1,2024-07-25 03:16:27.331218,2024,7,25,3,16,27,No,Completed,,CUS-XK8JN,Kelsey Hawkins,Female,60,Premium,United States,Los Angeles,62.8,30,2024-04-05,PRD-VSKQ,Hooded Sweatshirt,Clothing,Womens Wear,Logitech,3.4,976,70,81.41,5,10,40.7,366.35,273.9,92.45,33.53,USD,Apple Pay,Paid,No,Standard,22.52,7,United States,USA-West,Delivered,3,Neutral,Could be better,Yes,CPN-R2J,Facebook,Tablet,Direct,57.4,6,No,51.3,25.24,Medium,Yes
ORD-RKN59,2025-05-08 07:12:52.243426,2025,5,8,7,12,52,No,Completed,,CUS-UBESZ,Adam Vazquez,Male,18,Regular,Netherlands,The Hague,53.2,7,2024-04-23,PRD-9MJ5,Wireless Bluetooth Earbuds,Electronics,Tablets,GoPro,4.3,4573,88,179.11,2,0,0.0,358.22,161.56,196.66,30.19,USD,Bank Transfer,Paid,No,Express,23.99,12,Netherlands,USA-West,Delivered,2,Negative,Could be better,No,,Facebook,Mobile,Social,10.1,20,Yes,32.2,54.9,Medium,Yes
ORD-IR580,2024-04-02 05:36:54.075983,2024,4,2,5,36,54,No,Returned,Changed Mind,CUS-GEARG,Angelica Espinoza,Female,52,Regular,Australia,Brisbane,8.1,15,2022-02-13,PRD-QOFW,Gym Gloves,Sports,Sports Wear,Nike,4.9,3988,734,138.9,2,0,0.0,277.8,172.92,104.88,18.69,USD,Debit Card,Paid,No,Express,20.63,14,Australia,Asia-Pacific,Delivered,4,Positive,Great product!,Yes,CPN-YL3,Google Ads,Mobile,Search,41.9,9,Yes,77.5,37.75,Medium,Yes
ORD-V8EW6,2024-08-22 10:42:00.089783,2024,8,22,10,42,0,No,Completed,,CUS-8TVXV,Mark Poole,Male,36,Premium,Canada,Montreal,58.9,19,2021-11-03,PRD-VAQI,Air Fryer 5L,Home,Appliances,Baseus,4.8,3058,699,199.24,1,0,0.0,199.24,107.37,91.87,18.31,USD,Debit Card,Paid,No,Standard,24.04,1,Canada,USA-West,Delivered,5,Positive,,Yes,CPN-MCA,Affiliate,Tablet,Direct,14.6,18,No,58.4,46.11,Low,Yes
ORD-R7XCO,2025-09-25 04:54:02.434844,2025,9,25,4,54,2,No,Completed,,CUS-YGWQ1,Timothy Orozco,Male,61,Regular,Australia,Melbourne,85.7,48,2024-07-05,PRD-75ZS,Winter Jacket Waterproof,Clothing,Womens Wear,Sony,4.7,2511,940,70.78,2,10,14.16,127.4,77.24,50.16,11.83,USD,PayPal,Paid,No,Standard,13.23,6,Australia,EU-Central,Delivered,2,Negative,Fast delivery,No,,Affiliate,Desktop,Search,8.6,13,No,63.3,39.37,Medium,No
ORD-J096D,2024-03-13 09:23:59.776556,2024,3,13,9,23,59,No,Completed,,CUS-C7ETV,Brittany Preston,Female,62,Premium,Italy,Turin,39.2,35,2022-11-01,PRD-VA9Y,Blender 1000W,Home,Furniture,Apple,3.4,3147,710,266.19,5,0,0.0,1330.95,867.4,463.55,103.82,USD,Credit Card,Paid,Yes,Next Day,0.36,14,Italy,UK,Delivered,2,Negative,Excellent!,No,,Organic,Desktop,Referral,15.2,7,No,50.7,34.83,High,Yes
ORD-R8Z8N,2025-01-19 13:01:35.517814,2025,1,19,13,1,35,Yes,Completed,,CUS-NB7NJ,Ronald Cox,Male,58,Regular,Italy,Turin,93.3,28,2021-10-13,PRD-Z7R9,Desk Lamp LED,Home,Bedding,Asus,3.1,2891,974,25.97,3,15,11.69,66.22,46.29,19.93,5.4,USD,PayPal,Paid,No,Next Day,7.02,10,Italy,USA-West,Delivered,5,Positive,,No,,Google Ads,Tablet,Email,18.6,2,Yes,73.7,30.1,High,Yes
ORD-VULKU,2025-05-03 07:10:52.134435,2025,5,3,7,10,52,Yes,Completed,,CUS-4QGMM,Mr. Daniel Cain,Male,36,Regular,Australia,Melbourne,50.4,18,2024-03-01,PRD-3MNH,Blender 1000W,Home,Appliances,Philips,3.4,3533,923,262.59,5,10,131.29,1181.66,855.45,326.21,80.79,USD,Bank Transfer,Paid,Yes,Economy,19.44,4,Australia,USA-East,Pending,4,Positive,Excellent!,Yes,CPN-R9P,Google Ads,Tablet,Search,52.1,15,Yes,13.0,27.61,Low,Yes
ORD-25O3H,2024-03-05 06:42:06.739375,2024,3,5,6,42,6,No,Completed,,CUS-BWOT2,Andrew Fernandez,Male,30,Premium,Canada,Toronto,38.0,13,2023-07-28,PRD-EA6Z,Digital Blood Pressure Monitor,Health,Medical Devices,Fitbit,3.9,2106,603,168.39,5,25,210.49,631.46,488.8,142.66,31.8,USD,Bank Transfer,Paid,Yes,Economy,7.91,7,Canada,USA-West,Delivered,3,Neutral,Good value for money,No,,Google Ads,Desktop,Email,29.1,17,No,64.6,22.59,Medium,No
ORD-3WERI,2025-07-07 18:50:36.882147,2025,7,7,18,50,36,No,Completed,,CUS-0I5GG,Jason Duffy,Male,20,Regular,Belgium,Bruges,21.9,49,2024-10-14,PRD-NFGY,Coffee Maker Automatic,Home,Kitchen,Samsung,4.1,2479,413,58.9,4,15,35.34,200.26,103.36,96.9,17.11,USD,Debit Card,Paid,Yes,Next Day,16.16,11,Belgium,USA-West,Delivered,1,Negative,Good value for money,Yes,CPN-WRJ,Google Ads,Mobile,Referral,50.3,14,Yes,99.0,48.39,High,Yes
ORD-SQONE,2025-04-02 21:30:11.640501,2025,4,2,21,30,11,No,Returned,Better Price Elsewhere,CUS-2OYK6,Richard Kelly,Male,60,Regular,Belgium,Bruges,48.3,45,2021-09-16,PRD-1CP7,Hooded Sweatshirt,Clothing,Kids Wear,Lenovo,4.4,4251,313,117.4,3,5,17.61,334.59,215.67,118.92,20.3,USD,Bank Transfer,Paid,No,Standard,20.73,9,Belgium,EU-Central,Pending,5,Positive,,No,,Email,Tablet,Referral,36.5,12,Yes,14.0,35.54,Medium,Yes
ORD-CZPUY,2024-09-15 22:40:14.304231,2024,9,15,22,40,14,Yes,Completed,,CUS-GZS8B,Heather Elliott,Female,51,Regular,Germany,Hamburg,7.4,3,2021-02-25,PRD-IXW0,Running Shoes Air Zoom,Clothing,Womens Wear,Nikon,3.5,3723,37,21.69,5,20,21.69,86.76,66.6,20.16,6.74,USD,PayPal,Paid,No,Standard,13.35,10,Germany,USA-East,Delivered,1,Negative,Average quality,Yes,CPN-WFD,Facebook,Mobile,Social,16.4,1,Yes,52.3,23.24,Medium,Yes
ORD-SH9YC,2025-02-18 06:51:34.521641,2025,2,18,6,51,34,No,Completed,,CUS-TH1B1,Jacob Moore,Male,26,VIP,Spain,Barcelona,54.7,35,2022-01-31,PRD-PXXG,Phone Case Shockproof,Electronics,Tablets,Fitbit,4.6,1398,81,245.82,3,10,73.75,663.71,453.03,210.68,35.4,USD,Debit Card,Paid,No,Standard,22.29,4,Spain,UK,Delivered,4,Positive,,Yes,CPN-ZIX,Organic,Tablet,Search,6.6,11,No,77.1,31.74,Medium,Yes
ORD-VIPJO,2025-02-04 23:13:16.844972,2025,2,4,23,13,16,No,Pending,,CUS-2ABRH,Brady Lucas,Male,18,Premium,United States,Chicago,97.7,27,2023-08-10,PRD-GFCU,Protein Shaker Bottle,Health,Supplements,GoPro,3.8,13,781,16.0,3,20,9.6,38.4,29.73,8.67,2.79,USD,PayPal,Failed,No,Standard,22.38,1,United States,Asia-Pacific,Delivered,4,Positive,Could be better,No,,Affiliate,Tablet,Search,8.0,9,No,63.9,22.58,Low,Yes
ORD-LN0T1,2025-10-25 03:01:53.891768,2025,10,25,3,1,53,Yes,Completed,,CUS-HB32R,Mr. Jeffrey Glover,Male,61,Regular,Netherlands,Amsterdam,88.5,50,2025-06-04,PRD-4W2S,Fitness Smart Band,Health,Medical Devices,Adidas,4.8,1047,522,78.8,5,0,0.0,394.0,166.6,227.4,36.06,USD,Apple Pay,Paid,No,Standard,17.61,3,Netherlands,UK,Delivered,1,Negative,Could be better,Yes,CPN-9OJ,Instagram,Mobile,Search,16.1,16,Yes,17.4,57.72,High,Yes
ORD-75AAI,2025-02-14 10:28:05.671027,2025,2,14,10,28,5,No,Completed,,CUS-E3GL3,Allison Mendoza,Female,74,Regular,Belgium,Liege,74.3,32,2023-07-21,PRD-1VCJ,Hooded Sweatshirt,Clothing,Shoes,Dell,3.7,3429,761,72.62,1,15,10.89,61.73,45.32,16.41,4.19,USD,Credit Card,Paid,No,Standard,22.33,3,Belgium,Asia-Pacific,In Transit,1,Negative,Great product!,Yes,CPN-0IO,Organic,Desktop,Email,24.9,8,No,53.6,26.58,Medium,No
ORD-2ZF9M,2025-01-09 08:02:14.820049,2025,1,9,8,2,14,No,Completed,,CUS-K7PJ1,Daniel Allen,Male,18,Regular,Canada,Toronto,88.6,5,2024-03-26,PRD-ETCN,Bedsheet Set Cotton,Home,Decor,Philips,4.0,14,190,161.74,2,10,32.35,291.13,187.68,103.45,24.54,USD,Debit Card,Paid,Yes,Standard,14.26,3,Canada,UK,Delivered,1,Negative,Great product!,Yes,CPN-GEJ,Instagram,Mobile,Direct,58.1,6,No,80.0,35.53,Low,No
ORD-IOVC7,2024-09-19 07:20:46.370411,2024,9,19,7,20,46,No,Completed,,CUS-XPN64,Bradley Schmidt,Male,56,Premium,Italy,Naples,41.0,18,2022-05-19,PRD-2O2Z,Gaming Mechanical Keyboard RGB,Electronics,Cameras,Philips,3.2,4623,354,460.15,2,25,230.07,690.23,370.56,319.67,47.66,USD,Debit Card,Paid,Yes,Express,4.47,6,Italy,USA-West,Delivered,1,Negative,Could be better,No,,Organic,Mobile,Direct,23.4,14,Yes,37.8,46.31,Medium,Yes
ORD-G472A,2025-10-31 15:09:50.163445,2025,10,31,15,9,50,No,Completed,,CUS-WB5A8,Lauren Farmer,Female,37,Regular,Netherlands,Eindhoven,7.7,4,2022-03-24,PRD-VW5C,Sports Bra High Impact,Clothing,Accessories,Logitech,4.7,343,269,149.41,1,20,29.88,119.53,80.12,39.41,6.2,USD,PayPal,Paid,No,Economy,1.28,12,Netherlands,EU-Central,Failed,4,Positive,Average quality,No,,Google Ads,Desktop,Direct,10.5,20,Yes,62.6,32.97,High,No
ORD-VYQL5,2025-07-09 12:13:09.941143,2025,7,9,12,13,9,No,Completed,,CUS-03XAL,Elizabeth Mosley,Female,47,Regular,Germany,Hamburg,47.2,40,2021-11-15,PRD-QXJX,Desk Lamp LED,Home,Kitchen,Lenovo,3.8,4784,446,147.98,1,0,0.0,147.98,81.42,66.56,8.8,USD,Debit Card,Paid,Yes,Next Day,14.5,6,Germany,EU-Central,Delivered,3,Neutral,Great product!,No,,Email,Tablet,Search,43.9,13,No,59.1,44.98,High,Yes
ORD-4BTQ0,2025-10-30 16:20:13.611330,2025,10,30,16,20,13,No,Completed,,CUS-SW5KL,Jennifer Sullivan,Female,71,Regular,France,Nice,60.3,10,2025-09-03,PRD-M3KP,Storage Box Set,Home,Bedding,GoPro,5.0,2631,468,146.44,4,5,29.29,556.47,400.04,156.43,32.91,USD,PayPal,Paid,Yes,Standard,12.91,12,France,USA-West,Delivered,4,Positive,Good value for money,No,,Email,Tablet,Search,21.8,15,Yes,44.6,28.11,Medium,Yes
ORD-BINKL,2024-05-28 19:38:43.972879,2024,5,28,19,38,43,No,Completed,,CUS-UCP0D,Robert Ferguson,Male,48,Regular,Australia,Brisbane,89.2,30,2023-09-05,PRD-FY4E,Coffee Maker Automatic,Home,Appliances,Dell,3.7,2212,9,229.06,5,0,0.0,1145.3,538.9,606.4,77.04,USD,Credit Card,Paid,No,Standard,23.8,9,Australia,UK,Delivered,3,Neutral,Great product!,Yes,CPN-S9C,Instagram,Desktop,Direct,48.5,10,Yes,66.7,52.95,High,No
ORD-8I2Q3,2025-06-27 01:03:32.296044,2025,6,27,1,3,32,No,Completed,,CUS-CE56F,Ashley Simon,Female,45,Regular,Canada,Vancouver,8.7,24,2025-05-06,PRD-SY2Z,Exercise Ball,Sports,Outdoor,Lenovo,4.9,427,45,150.67,2,15,45.2,256.14,198.88,57.26,17.04,USD,PayPal,Paid,No,Next Day,4.21,7,Canada,EU-Central,Delivered,2,Negative,Great product!,Yes,CPN-C1C,Instagram,Tablet,Referral,11.7,5,No,89.9,22.35,Low,Yes
ORD-1P8M0,2025-12-13 05:34:13.790151,2025,12,13,5,34,13,Yes,Returned,Wrong Item,CUS-41LMG,Lynn Goodman,Female,40,Regular,Belgium,Brussels,26.8,35,2023-09-01,PRD-CCGD,Storage Box Set,Home,Bedding,Sony,3.6,4171,895,158.95,4,10,63.58,572.22,270.88,301.34,39.04,USD,Credit Card,Paid,Yes,Standard,23.99,6,Belgium,Asia-Pacific,Failed,1,Negative,Could be better,Yes,CPN-6BV,Instagram,Tablet,Search,26.8,14,No,35.0,52.66,Medium,Yes
ORD-ZLGB0,2026-01-02 11:13:24.370288,2026,1,2,11,13,24,No,Completed,,CUS-60WDN,Elizabeth Michael,Female,67,Regular,Germany,Munich,5.7,16,2022-06-23,PRD-5NR1,Casual Sneakers,Clothing,Kids Wear,Philips,4.3,3011,910,52.69,2,0,0.0,105.38,43.34,62.04,9.98,USD,PayPal,Paid,No,Express,21.2,7,Germany,Asia-Pacific,Delivered,5,Positive,Not satisfied,Yes,CPN-NDB,Organic,Desktop,Email,54.7,9,Yes,96.7,58.87,Low,No
ORD-8TD4Y,2024-06-29 08:12:16.235917,2024,6,29,8,12,16,Yes,Pending,,CUS-GJ7UF,Lisa Howard,Female,34,Regular,Italy,Milan,73.3,6,2023-03-13,PRD-PZBU,Blender 1000W,Home,Bedding,Xiaomi,3.0,3110,508,128.53,2,15,38.56,218.5,124.5,94.0,20.94,USD,Bank Transfer,Failed,No,Economy,5.39,14,Italy,Asia-Pacific,Delivered,2,Negative,Not satisfied,Yes,CPN-G59,Facebook,Desktop,Email,14.4,9,Yes,14.6,43.02,High,Yes
ORD-644HO,2025-11-04 15:45:27.175185,2025,11,4,15,45,27,No,Completed,,CUS-4HCMB,Alexis Gomez,Female,40,Regular,United Kingdom,Manchester,19.4,3,2022-05-06,PRD-T7YP,Wireless Bluetooth Earbuds,Electronics,Audio,Nike,4.6,2974,426,381.56,4,0,0.0,1526.24,694.72,831.52,108.73,USD,Bank Transfer,Paid,Yes,Standard,17.88,1,United Kingdom,UK,In Transit,1,Negative,Good value for money,No,,Google Ads,Tablet,Referral,53.8,18,Yes,46.6,54.48,High,No
ORD-NRG6J,2024-06-05 12:51:34.654788,2024,6,5,12,51,34,No,Completed,,CUS-RBRQQ,Jessica Hall DDS,Female,61,Regular,Netherlands,Rotterdam,52.2,47,2023-03-19,PRD-KALH,Storage Box Set,Home,Bedding,GoPro,3.5,3027,902,65.63,4,10,26.25,236.27,114.4,121.87,15.04,USD,Debit Card,Paid,Yes,Next Day,15.26,7,Netherlands,Asia-Pacific,Delivered,4,Positive,Fast delivery,No,,Affiliate,Tablet,Referral,37.6,13,Yes,8.1,51.58,High,Yes
ORD-WYNIH,2025-03-20 04:28:58.648499,2025,3,20,4,28,58,No,Processing,,CUS-3I8QH,Rachel Ellis,Female,70,Regular,Australia,Perth,44.9,34,2021-06-04,PRD-E5XC,Badminton Racket,Sports,Sports Wear,Xiaomi,4.0,2812,550,18.28,4,0,0.0,73.12,29.32,43.8,6.56,USD,PayPal,Paid,No,Express,17.49,7,Australia,USA-West,Delivered,2,Negative,Could be better,No,,Instagram,Tablet,Social,12.4,6,Yes,19.5,59.9,Low,Yes
ORD-PBNH2,2025-09-28 21:00:05.308120,2025,9,28,21,0,5,Yes,Completed,,CUS-1PQNI,Nicole Mccarthy,Female,25,Premium,Netherlands,Rotterdam,64.6,9,2023-06-04,PRD-PYRG,USB-C Fast Charger 65W,Electronics,Accessories,Anker,4.3,2962,482,70.71,3,15,31.82,180.31,119.01,61.3,10.78,USD,Debit Card,Paid,No,Economy,22.65,14,Netherlands,USA-East,Delivered,4,Positive,,Yes,CPN-EFB,Google Ads,Mobile,Search,19.4,10,No,4.1,34.0,Low,Yes
ORD-CAVDR,2024-04-30 08:26:46.373909,2024,4,30,8,26,46,No,Completed,,CUS-ZPN0L,Richard Nelson,Male,51,Regular,Italy,Turin,36.7,40,2022-01-15,PRD-N4HW,USB-C Fast Charger 65W,Electronics,Accessories,HP,3.5,931,60,409.8,2,0,0.0,819.6,510.02,309.58,68.08,USD,Bank Transfer,Paid,No,Economy,0.73,13,Italy,USA-East,Delivered,1,Negative,,No,,Facebook,Tablet,Referral,28.4,2,No,46.1,37.77,High,Yes
ORD-ZVGLL,2024-03-16 16:17:22.900907,2024,3,16,16,17,22,Yes,Completed,,CUS-KI1SV,Lauren Bailey,Female,59,Regular,Germany,Munich,18.5,21,2024-01-13,PRD-0YI3,Fitness Smart Band,Health,Medical Devices,Baseus,3.3,507,271,77.86,1,20,15.57,62.29,52.79,9.5,4.87,USD,PayPal,Paid,No,Economy,21.16,6,Germany,USA-West,Delivered,5,Positive,Fast delivery,No,,Instagram,Tablet,Search,55.6,5,No,88.5,15.25,High,Yes
ORD-FGFU7,2024-05-03 05:26:38.379482,2024,5,3,5,26,38,No,Completed,,CUS-S7UV8,Miguel Rush,Male,28,Regular,United States,Houston,76.3,22,2023-07-28,PRD-CFAD,Vacuum Robot Cleaner,Home,Appliances,Anker,3.8,2783,773,144.02,3,10,43.21,388.85,294.24,94.61,38.36,USD,PayPal,Paid,Yes,Express,21.13,6,United States,USA-West,In Transit,1,Negative,,No,,Facebook,Tablet,Direct,13.4,3,Yes,85.0,24.33,Medium,Yes
ORD-MWHDL,2024-09-06 20:14:54.984030,2024,9,6,20,14,54,No,Returned,Not As Described,CUS-J6FA2,James Nielsen,Male,62,Regular,Canada,Vancouver,5.8,50,2021-05-20,PRD-G8QX,Air Fryer 5L,Home,Furniture,Dell,5.0,1912,466,164.28,5,5,41.07,780.33,565.65,214.68,69.16,USD,Credit Card,Paid,Yes,Express,16.93,12,Canada,UK,Delivered,4,Positive,Fast delivery,No,,Instagram,Tablet,Direct,30.5,15,Yes,40.3,27.51,High,Yes
ORD-O6OOB,2025-09-02 23:44:24.766212,2025,9,2,23,44,24,No,Completed,,CUS-G1ZN2,Stephen Miller,Male,69,Regular,Canada,Ottawa,70.2,14,2023-09-07,PRD-QCD7,Denim Jeans Slim Fit,Clothing,Shoes,Apple,4.5,686,414,138.8,2,25,69.4,208.2,137.42,70.78,16.36,USD,Apple Pay,Paid,Yes,Express,0.44,3,Canada,EU-Central,In Transit,3,Neutral,Great product!,No,,Email,Desktop,Email,37.5,9,No,88.3,34.0,High,No
ORD-YE001,2025-03-02 08:09:59.565865,2025,3,2,8,9,59,Yes,Completed,,CUS-K6J8U,Michelle Flowers,Female,36,Premium,Italy,Rome,76.5,8,2021-05-01,PRD-261G,Electric Toothbrush,Home,Bedding,Xiaomi,4.8,4643,613,162.52,3,25,121.89,365.67,289.79999999999995,75.87,22.84,USD,Debit Card,Paid,No,Standard,20.96,14,Italy,EU-Central,Delivered,2,Negative,,Yes,CPN-H53,Instagram,Tablet,Search,14.2,14,Yes,72.7,20.75,Low,Yes
ORD-7MJIL,2024-09-03 23:41:17.720324,2024,9,3,23,41,17,No,Pending,,CUS-HT4ZD,Christopher Stephens,Male,40,Regular,Australia,Melbourne,92.7,9,2023-01-17,PRD-NRAO,Wireless Bluetooth Earbuds,Electronics,Cameras,Xiaomi,4.7,4287,459,407.94,5,25,509.93,1529.77,871.55,658.22,107.05,USD,Debit Card,Failed,Yes,Next Day,11.38,3,Australia,USA-East,Delivered,3,Neutral,Highly recommended,No,,Email,Mobile,Search,2.0,16,Yes,35.4,43.03,Low,Yes
ORD-J29S5,2024-06-26 10:34:30.233677,2024,6,26,10,34,30,No,Completed,,CUS-CW3XZ,Juan Carpenter,Male,73,Regular,Canada,Ottawa,30.2,37,2022-11-06,PRD-326J,Jump Rope Speed,Sports,Accessories,Canon,3.2,317,734,104.98,4,0,0.0,419.92,250.2,169.72,22.54,USD,Bank Transfer,Paid,No,Next Day,19.52,11,Canada,USA-East,Delivered,5,Positive,Good value for money,Yes,CPN-4VC,Instagram,Tablet,Referral,10.3,13,No,10.5,40.42,High,No
ORD-AJMYQ,2024-12-09 09:21:55.317161,2024,12,9,9,21,55,No,Pending,,CUS-CA5HJ,Fred Parsons,Male,59,Regular,France,Lyon,77.5,8,2024-04-14,PRD-BGBG,Massage Gun Deep Tissue,Health,Fitness,Fitbit,3.6,3094,904,105.76,4,5,21.15,401.89,204.8,197.09,25.04,USD,Credit Card,Failed,No,Next Day,6.52,7,France,USA-West,Delivered,2,Negative,Great product!,No,,Email,Tablet,Direct,45.5,19,No,92.8,49.04,Medium,Yes
ORD-T2YHU,2025-05-29 11:10:25.078512,2025,5,29,11,10,25,No,Completed,,CUS-BXRRP,Douglas Reynolds,Male,73,Premium,Spain,Valencia,45.5,12,2022-11-21,PRD-AEGN,Desk Lamp LED,Home,Bedding,Samsung,4.8,623,739,130.96,4,15,78.58,445.26,278.24,167.02,36.41,USD,Bank Transfer,Paid,No,Express,17.68,12,Spain,USA-West,Delivered,2,Negative,Great product!,No,,Affiliate,Tablet,Social,29.8,13,Yes,10.0,37.51,Low,No
